,feature1,feature2,feature3,feature4,feature5
145,"('ningun', -0.19299141926929136)","('son', 0.12166901858642551)","('transnacional', 0.08605842048647722)","('ej', 0.08481329007240315)","('app', 0.01578978849166028)"
146,"('favor', 0.09537118816146882)","('super', -0.06534988037194425)","('los', -0.03527273063718076)","('mas', -0.018355879746377583)","('cosquillean', -0.0014235267097250396)"
147,"('celular', 0.2133829071042304)","('interior', -0.19166724232773233)","('social', 0.1084085941068865)","('ver', 0.030692888342559142)","('lider', 0.028531123245553017)"
148,"('celular', 0.15232872343098583)","('hoy', -0.09060851115509579)","('dias', -0.07444475619731618)","('situacion', -0.06500419702583438)","('pase', 0.030941403473064247)"
149,"('mujer', -0.09516070434200968)","('hombre', 0.03253176982970519)","('estos', 0.00166749557859145)","('habia', -0.0015390971275397098)","('que', -0.0014697140392047367)"
150,"('celular', 0.2822479366423993)","('usd', 0.09465442281883762)","('mal', -0.04281067673193401)","('anda', -0.007203655638899772)","('le', 0.00236985215575698)"
151,"('vial', 0.050816989220661954)","('senalizacion', -0.022955416179254395)","('iluminacion', -0.022909391946657035)","('los', -0.011880955632875946)","('mas', -0.009341433889928634)"
152,"('produccion', 0.1841850607710424)","('ciudad', 0.1457714237470301)","('bien', -0.08729389820727354)","('manos', -0.07631529864666922)","('mas', -0.01689819916175347)"
153,"('esmad', 0.41439686753059196)","('y', 8.719143397989316e-05)","('en', 7.579619581663086e-05)","('lo', 7.434571384111714e-05)","('del', 6.695136379332102e-05)"
154,"('peor', -0.12332604769686807)","('temor', 0.018883870005395105)","('da', -0.013364762602854007)","('estan', -0.009096160382329438)","('me', 0.0011201448421133274)"
155,"('jardin', 0.12673533509971527)","('los', -0.06444468228773785)","('infantil', 0.0017958965723097516)","('el', -0.0009092241789610628)","('matriculas', 0.0008121872095682599)"
156,"('dan', 0.08535346593410922)","('los', -0.06421195941512486)","('de', 0.0010143373246985856)","('la', 0.0008291514971380544)","('porque', 0.0007643609443525107)"
157,"('son', 0.20864178579947237)","('casi', -0.1282323255165701)","('en', 0.0011438639722979843)","('pandemia', 0.0010420980677766291)","('mitad', 0.0008658423146572729)"
158,"('institucion', -0.06813820497618424)","('sexual', -0.06571130957753964)","('situacion', -0.02528734745979328)","('superior', 0.01904121838553225)","('normal', -0.002073739677741584)"
159,"('los', -0.03677315925253974)","('el', -4.915909390477173e-06)","('pero', -4.1442803809736295e-06)","('baja', -4.029204875015815e-06)","('hurto', -2.998712484500852e-06)"
160,"('bus', -0.2873247056085446)","('escolar', 0.1885578545380888)","('lesionados', 0.000704235287486197)","('entregan', 0.0006978609771856268)","('accidente', 0.0006868696450036506)"
161,"('menor', -0.12414464759883578)","('lider', 0.09916923831271104)","('hoy', -0.0592493375937665)","('ayer', -0.016767214385001887)","('mas', -0.004130083951947451)"
162,"('oye', 0.20278956197186157)","('celular', 0.18751443779643232)","('defensor', -0.14525346869339503)","('arley', -0.07024057824487827)","('le', 0.0023426108276624336)"
163,"('sitp', -0.24741782305330998)","('tiempo', -4.194510316227274e-05)","('en', -3.029481389738444e-05)","('vivo', -2.8965299693781268e-05)","('el', -2.5075066598749857e-05)"
164,"('dis', 0.16425345456942955)","('estan', -0.05651299365016869)","('mas', -0.0228130655707587)","('la', -0.00020754987643021588)","('homicidio', -0.000205686282839612)"
165,"('medellin', -0.20342987698819814)","('habitante', -4.434515381536958e-05)","('calle', -3.844499748086211e-05)","('habria', -3.115891795996765e-05)","('de', -2.8397223253447466e-05)"
166,"('especial', 0.17646942788250328)","('sexual', -0.1704692717581137)","('paz', 0.08334134349955796)","('jurisdiccion', -0.0175375246467455)","('nacional', 0.004716411951094772)"
167,"('estar', -0.03051592535531356)","('deben', -1.902332539455334e-06)","('ya', -1.8985708076364265e-06)","('libertad', -1.8347180591288493e-06)","('en', -7.75117599078106e-07)"
